B,G,R,TONE
139,164,226,fair
170,184,237,fair
152,191,243,fair
151,181,228,fair
156,196,254,fair
144,183,251,fair
139,179,244,fair
168,184,230,fair
155,167,231,fair
152,190,254,fair
149,190,252,fair
147,183,231,fair
150,187,221,fair
150,191,253,fair
127,171,218,fair
130,167,219,fair
147,186,248,fair
167,183,229,fair
143,185,244,fair
155,177,235,fair
136,170,236,fair
130,169,224,fair
152,190,254,fair
137,175,223,fair
158,171,233,fair
171,187,230,fair
147,190,253,fair
152,190,254,fair
161,175,228,fair
145,185,250,fair
143,176,225,fair
165,179,232,fair
166,180,233,fair
129,165,229,fair
152,178,225,fair
168,184,230,fair
139,179,244,fair
127,165,223,fair
134,168,221,fair
149,167,232,fair
142,182,247,fair
147,177,226,fair
163,177,226,fair
156,187,232,fair
153,171,232,fair
121,165,226,fair
154,170,216,fair
146,185,253,fair
141,168,232,fair
167,181,233,fair
135,169,228,fair
129,168,223,fair
170,186,229,fair
140,181,230,fair
165,179,232,fair
162,178,225,fair
132,173,222,fair
155,190,234,fair
140,180,229,fair
139,180,225,fair
160,194,230,fair
149,186,254,fair
171,178,241,fair
152,190,254,fair
134,174,226,fair
135,173,227,fair
170,186,228,fair
157,193,253,fair
134,174,222,fair
146,182,230,fair
155,195,253,fair
128,165,221,fair
146,187,232,fair
139,179,227,fair
169,185,238,fair
156,178,236,fair
140,177,229,fair
137,177,225,fair
144,187,250,fair
138,178,230,fair
148,191,254,fair
142,177,220,fair
152,171,239,fair
122,170,228,fair
138,185,253,fair
148,186,234,fair
150,164,223,fair
169,182,228,fair
128,167,219,fair
147,188,251,fair
137,175,223,fair
148,185,253,fair
171,185,238,fair
163,178,227,fair
171,186,232,fair
156,196,254,fair
150,188,252,fair
133,175,222,fair
164,184,232,fair
129,172,223,fair
133,173,222,fair
153,170,221,fair
151,189,253,fair
124,170,224,fair
147,182,232,fair
133,172,224,fair
145,185,250,fair
161,172,230,fair
162,176,228,fair
129,168,220,fair
144,183,245,fair
170,185,234,fair
156,190,236,fair
137,177,226,fair
150,188,253,fair
132,172,220,fair
148,188,247,fair
150,188,252,fair
142,178,226,fair
171,187,229,fair
136,176,224,fair
149,186,254,fair
143,178,228,fair
131,174,217,fair
138,174,220,fair
152,190,254,fair
128,168,226,fair
160,176,235,fair
133,180,234,fair
138,174,220,fair
130,165,229,fair
147,187,252,fair
167,181,234,fair
167,179,233,fair
145,181,229,fair
158,172,224,fair
164,180,226,fair
124,164,229,fair
141,166,230,fair
157,179,244,fair
137,176,250,fair
157,179,237,fair
143,176,225,fair
148,185,237,fair
140,164,230,fair
146,179,228,fair
149,190,253,fair
152,190,254,fair
163,177,230,fair
164,181,237,fair
161,194,233,fair
171,185,233,fair
163,177,229,fair
154,187,236,fair
147,188,251,fair
168,182,230,fair
140,180,252,fair
170,184,236,fair
168,182,230,fair
156,193,245,fair
147,170,232,fair
155,184,229,fair
163,172,236,fair
148,173,235,fair
145,184,252,fair
148,188,253,fair
142,167,231,fair
165,179,232,fair
166,180,229,fair
152,190,254,fair
151,168,217,fair
142,181,243,fair
168,182,234,fair
128,168,220,fair
170,186,239,fair
158,176,241,fair
161,181,236,fair
153,186,235,fair
144,184,243,fair
167,182,231,fair
168,182,231,fair
130,169,221,fair
131,169,223,fair
148,184,230,fair
148,166,219,fair
169,175,234,fair
161,179,238,fair
168,182,231,fair
148,188,247,fair
155,169,228,fair
170,185,231,fair
143,182,227,fair
135,168,213,fair
167,179,233,fair
152,190,254,fair
151,169,234,fair
134,173,225,fair
148,169,230,fair
127,166,218,fair
157,176,233,fair
129,171,218,fair
168,182,235,fair
149,187,252,fair
171,186,235,fair
147,187,252,fair
162,187,231,fair
148,189,252,fair
162,169,226,fair
167,181,233,fair
136,166,231,fair
141,181,246,fair
161,181,229,fair
149,179,226,fair
161,193,234,fair
138,180,251,fair
125,168,225,fair
155,170,219,fair
168,182,235,fair
138,178,243,fair
140,164,230,fair
168,182,230,fair
155,192,254,fair
166,199,238,fair
170,187,238,fair
154,188,224,fair
147,188,250,fair
169,183,231,fair
145,167,232,fair
154,194,253,fair
149,169,224,fair
153,180,236,fair
145,167,232,fair
132,164,229,fair
162,177,226,fair
130,171,220,fair
128,165,225,fair
140,174,228,fair
155,189,248,fair
154,170,216,fair
160,165,228,fair
123,164,227,fair
169,178,235,fair
145,181,251,fair
121,169,227,fair
170,188,225,fair
130,166,220,fair
152,190,254,fair
168,176,235,fair
171,184,240,fair
166,182,229,fair
168,182,230,fair
153,184,235,fair
167,181,234,fair
169,190,251,fair
128,167,219,fair
142,181,226,fair
150,168,233,fair
151,189,253,fair
122,169,220,fair
160,176,223,fair
158,171,227,fair
154,189,232,fair
153,167,233,fair
150,188,252,fair
138,165,229,fair
144,190,244,fair
134,168,222,fair
143,180,254,fair
145,187,252,fair
152,184,233,fair
165,179,231,fair
167,180,232,fair
126,166,218,fair
170,188,229,fair
159,166,229,fair
151,172,233,fair
147,185,233,fair
138,166,220,fair
153,192,254,fair
170,187,230,fair
129,171,218,fair
156,174,235,fair
151,170,251,fair
169,183,236,fair
167,179,237,fair
150,191,254,fair
142,166,226,fair
171,186,235,fair
150,186,224,fair
132,176,240,fair
151,178,228,fair
129,166,216,fair
150,188,252,fair
159,176,225,fair
152,190,254,fair
159,180,218,fair
143,176,221,fair
171,186,232,fair
161,175,224,fair
170,189,226,fair
159,191,232,fair
157,179,237,fair
151,189,253,fair
165,179,231,fair
140,179,223,fair
145,165,230,fair
165,181,234,fair
141,184,247,fair
165,186,247,fair
141,181,246,fair
129,168,220,fair
131,165,218,fair
149,189,254,fair
140,173,223,fair
140,165,229,fair
125,164,216,fair
128,168,220,fair
129,168,220,fair
158,178,233,fair
145,181,251,fair
134,168,222,fair
161,189,253,fair
144,177,226,fair
147,180,230,fair
143,165,230,fair
129,172,223,fair
129,168,220,fair
163,177,226,fair
165,179,232,fair
146,165,232,fair
163,178,227,fair
149,187,251,fair
146,181,225,fair
169,185,231,fair
132,165,228,fair
167,181,233,fair
142,181,226,fair
155,175,232,fair
127,166,218,fair
156,175,220,fair
145,164,237,fair
125,164,216,fair
135,174,218,fair
131,165,219,fair
141,164,232,fair
151,190,235,fair
153,189,227,fair
141,177,225,fair
166,181,227,fair
125,164,216,fair
155,173,220,fair
130,166,214,fair
132,175,218,fair
130,180,233,fair
169,183,236,fair
154,178,238,fair
141,180,254,fair
154,170,217,fair
137,165,230,fair
162,178,231,fair
170,185,231,fair
155,192,254,fair
137,166,223,fair
165,178,230,fair
131,168,220,fair
156,173,236,fair
156,190,226,fair
150,165,228,fair
135,176,225,fair
143,182,251,fair
171,185,237,fair
144,164,229,fair
170,185,241,fair
128,166,224,fair
132,174,221,fair
140,175,238,fair
151,184,223,fair
134,168,227,fair
134,173,225,fair
169,185,228,fair
126,165,217,fair
159,175,222,fair
122,173,229,fair
165,179,232,fair
171,184,240,fair
141,175,221,fair
128,164,224,fair
166,185,242,fair
142,184,243,fair
171,185,233,fair
136,182,246,fair
144,179,229,fair
126,165,217,fair
154,187,232,fair
168,181,233,fair
170,184,237,fair
144,184,249,fair
157,175,234,fair
164,178,230,fair
152,190,254,fair
168,183,232,fair
149,173,233,fair
168,182,234,fair
146,165,216,fair
140,180,232,fair
139,166,230,fair
165,183,230,fair
169,185,238,fair
139,172,221,fair
162,176,228,fair
129,169,218,fair
129,165,225,fair
126,166,218,fair
170,182,236,fair
150,166,232,fair
140,167,234,fair
157,186,231,fair
167,181,234,fair
165,182,239,fair
150,165,227,fair
167,183,226,fair
132,168,222,fair
152,190,254,fair
146,164,225,fair
140,180,245,fair
171,185,237,fair
171,182,234,fair
150,188,252,fair
150,172,230,fair
133,173,225,fair
152,171,216,fair
145,165,230,fair
141,181,229,fair
160,183,228,fair
156,176,231,fair
144,186,251,fair
164,179,228,fair
165,179,231,fair
129,168,220,fair
145,167,232,fair
132,164,217,fair
143,183,248,fair
147,185,250,fair
147,183,229,fair
143,182,226,fair
142,167,237,fair
167,181,239,fair
136,175,219,fair
167,187,242,fair
129,168,220,fair
142,182,247,fair
138,180,247,fair
151,166,222,fair
135,169,222,fair
147,185,250,fair
135,175,224,fair
149,193,247,fair
133,164,233,fair
167,180,232,fair
146,180,226,fair
161,177,224,fair
141,183,230,fair
126,164,218,fair
167,188,250,fair
168,184,237,fair
130,170,223,fair
137,167,232,fair
146,165,232,fair
146,165,226,fair
137,174,230,fair
155,192,254,fair
166,181,230,fair
139,166,230,fair
145,167,225,fair
168,182,231,fair
129,168,220,fair
137,173,227,fair
157,194,254,fair
134,174,226,fair
135,173,221,fair
138,177,239,fair
142,178,232,fair
146,188,247,fair
160,180,228,fair
135,176,225,fair
156,167,225,fair
126,164,218,fair
150,186,240,fair
125,165,224,fair
152,190,254,fair
151,189,253,fair
148,186,250,fair
160,177,233,fair
144,184,249,fair
136,173,223,fair
150,188,252,fair
141,168,225,fair
147,186,254,fair
155,183,230,fair
158,174,227,fair
152,190,254,fair
158,169,226,fair
145,178,241,fair
165,179,231,fair
147,165,226,fair
150,188,253,fair
149,189,254,fair
158,180,221,fair
170,185,234,fair
146,183,243,fair
155,190,230,fair
128,166,220,fair
135,169,223,fair
128,167,219,fair
128,167,219,fair
149,186,230,fair
136,166,231,fair
162,185,231,fair
142,182,247,fair
159,175,228,fair
141,183,252,fair
152,199,253,fair
164,178,227,fair
154,174,215,fair
167,180,236,fair
134,164,219,fair
131,169,217,fair
152,190,254,fair
144,186,251,fair
128,171,220,fair
132,171,223,fair
135,170,220,fair
138,176,230,fair
163,176,232,fair
151,189,253,fair
142,184,251,fair
143,177,230,fair
127,167,219,fair
146,189,252,fair
148,185,241,fair
143,165,230,fair
154,167,219,fair
160,189,250,fair
156,170,219,fair
138,178,243,fair
151,166,215,fair
144,178,221,fair
171,190,228,fair
141,181,246,fair
153,171,232,fair
145,187,246,fair
151,184,234,fair
166,180,232,fair
169,181,235,fair
140,173,223,fair
133,164,233,fair
149,188,250,fair
152,165,227,fair
154,171,220,fair
130,176,240,fair
162,179,235,fair
161,175,228,fair
171,188,231,fair
139,179,244,fair
167,185,226,fair
146,164,227,fair
155,195,254,fair
153,176,238,fair
141,175,229,fair
142,182,247,fair
135,171,217,fair
159,175,228,fair
141,180,248,fair
128,173,230,fair
149,186,248,fair
133,167,213,fair
158,186,233,fair
132,165,215,fair
167,183,236,fair
161,199,234,fair
151,172,234,fair
158,178,235,fair
141,181,246,fair
146,166,231,fair
152,190,254,fair
160,179,236,fair
138,184,248,fair
171,185,237,fair
142,182,247,fair
147,165,230,fair
147,189,254,fair
148,192,246,fair
151,189,253,fair
161,190,251,fair
147,169,234,fair
144,169,233,fair
154,189,229,fair
138,180,245,fair
171,187,240,fair
171,186,232,fair
130,169,221,fair
169,182,234,fair
154,172,233,fair
130,165,228,fair
131,170,222,fair
148,194,228,fair
125,164,216,fair
170,184,237,fair
150,166,232,fair
171,185,237,fair
168,186,233,fair
136,173,231,fair
124,175,237,fair
146,185,253,fair
149,166,217,fair
143,179,219,fair
155,192,254,fair
129,173,226,fair
140,174,228,fair
169,182,238,fair
129,171,216,fair
135,169,223,fair
147,185,250,fair
131,170,222,fair
156,183,239,fair
149,187,251,fair
142,182,247,fair
144,164,229,fair
148,184,254,fair
145,185,250,fair
125,166,215,fair
150,188,252,fair
143,181,246,fair
168,184,231,fair
148,184,254,fair
135,170,220,fair
151,173,231,fair
145,179,222,fair
147,187,252,fair
144,182,246,fair
145,187,252,fair
152,190,254,fair
169,182,238,fair
152,190,254,fair
140,180,228,fair
141,181,246,fair
151,187,235,fair
123,164,227,fair
161,187,233,fair
151,187,235,fair
154,165,222,fair
150,188,252,fair
132,174,221,fair
158,185,241,fair
168,182,235,fair
158,182,234,fair
152,190,254,fair
160,178,237,fair
139,180,225,fair
126,167,216,fair
140,176,222,fair
151,189,254,fair
149,187,229,fair
167,183,229,fair
166,177,235,fair
142,167,231,fair
162,182,237,fair
167,181,230,fair
144,188,251,fair
146,171,235,fair
171,186,235,fair
129,168,220,fair
130,171,220,fair
144,187,254,fair
137,181,244,fair
149,193,247,fair
129,175,229,fair
137,178,227,fair
160,183,239,fair
168,181,233,fair
123,173,239,fair
132,171,223,fair
144,169,225,fair
150,188,252,fair
154,170,247,fair
162,176,229,fair
131,170,222,fair
151,189,254,fair
128,167,219,fair
152,194,253,fair
168,184,230,fair
150,188,252,fair
151,188,226,fair
137,177,226,fair
166,180,233,fair
141,168,232,fair
136,169,219,fair
131,185,218,fair
133,166,222,fair
164,178,227,fair
136,172,226,fair
129,169,222,fair
138,169,222,fair
170,186,232,fair
145,184,246,fair
161,177,224,fair
148,185,253,fair
145,183,241,fair
140,177,221,fair
147,186,254,fair
140,180,228,fair
168,184,231,fair
161,175,224,fair
144,183,222,fair
138,174,222,fair
136,175,219,fair
146,183,235,fair
147,166,227,fair
165,178,230,fair
162,176,228,fair
166,182,228,fair
162,196,232,fair
148,164,217,fair
166,182,229,fair
143,177,223,fair
151,175,235,fair
143,182,251,fair
171,185,233,fair
134,174,222,fair
149,184,234,fair
151,169,234,fair
147,178,229,fair
147,186,254,fair
147,180,225,fair
137,176,228,fair
155,167,231,fair
150,185,228,fair
151,185,221,fair
147,189,254,fair
141,176,226,fair
165,181,227,fair
136,174,222,fair
167,181,234,fair
138,178,220,fair
150,188,252,fair
156,166,230,fair
157,175,236,fair
147,184,242,fair
124,165,220,fair
149,173,233,fair
151,189,253,fair
166,179,225,fair
151,189,253,fair
136,179,246,fair
169,185,238,fair
131,166,230,fair
155,195,254,fair
148,189,252,fair
133,164,219,fair
141,182,244,fair
133,168,218,fair
148,185,235,fair
159,168,231,fair
124,166,213,fair
165,186,237,fair
144,183,227,fair
140,174,217,fair
150,181,232,fair
149,165,231,fair
158,166,226,fair
156,190,233,fair
140,184,247,fair
161,176,225,fair
164,183,234,fair
133,168,232,fair
169,184,233,fair
123,168,225,fair
126,164,229,fair
133,177,238,fair
167,181,234,fair
140,166,232,fair
149,170,222,fair
165,185,233,fair
167,181,229,fair
132,173,222,fair
168,182,234,fair
146,183,251,fair
145,182,234,fair
146,186,251,fair
137,173,221,fair
152,188,252,fair
155,192,254,fair
150,188,252,fair
167,183,236,fair
139,177,231,fair
155,174,235,fair
164,180,223,fair
150,188,252,fair
143,165,230,fair
139,180,225,fair
142,169,233,fair
169,185,231,fair
170,186,229,fair
170,184,233,fair
159,183,235,fair
125,164,216,fair
135,169,223,fair
153,167,220,fair
133,175,222,fair
146,183,233,fair
130,169,221,fair
157,194,254,fair
147,187,252,fair
152,179,229,fair
148,186,251,fair
170,184,237,fair
137,182,249,fair
132,171,223,fair
166,183,234,fair
142,185,252,fair
149,182,231,fair
144,179,252,fair
165,185,240,fair
147,191,252,fair
144,178,237,fair
159,196,254,fair
155,174,217,fair
158,194,254,fair
136,171,215,fair
154,171,222,fair
144,183,251,fair
140,184,248,fair
158,171,233,fair
150,171,233,fair
134,180,244,fair
130,169,221,fair
143,165,230,fair
152,190,254,fair
137,178,227,fair
124,164,212,fair
142,185,248,fair
149,169,217,fair
132,164,229,fair
140,179,224,fair
158,177,238,fair
168,179,231,fair
131,171,223,fair
132,172,221,fair
142,166,226,fair
143,176,226,fair
148,186,251,fair
136,171,221,fair
170,190,247,fair
153,190,252,fair
147,185,250,fair
148,166,229,fair
164,178,230,fair
146,170,230,fair
149,186,254,fair
141,178,234,fair
149,187,251,fair
149,190,253,fair
171,185,234,fair
167,181,234,fair
138,178,243,fair
137,164,231,fair
142,174,223,fair
130,169,221,fair
166,182,228,fair
167,181,233,fair
144,183,252,fair
169,183,235,fair
140,185,246,fair
151,181,228,fair
136,178,223,fair
134,173,228,fair
161,173,227,fair
156,176,234,fair
146,178,227,fair
154,177,233,fair
169,183,235,fair
139,177,225,fair
151,188,250,fair
171,185,237,fair
147,186,254,fair
165,186,248,fair
171,187,233,fair
155,182,232,fair
169,189,230,fair
147,194,248,fair
168,182,235,fair
145,180,224,fair
134,168,221,fair
165,185,233,fair
126,166,224,fair
138,165,229,fair
170,184,236,fair
136,166,231,fair
158,175,226,fair
146,176,231,fair
163,178,227,fair
146,190,251,fair
135,179,243,fair
131,165,219,fair
149,184,228,fair
171,187,229,fair
159,177,224,fair
168,184,226,fair
164,176,230,fair
134,164,219,fair
122,169,225,fair
129,168,220,fair
135,177,242,fair
123,164,227,fair
152,190,254,fair
150,185,229,fair
146,187,249,fair
170,187,244,fair
150,183,239,fair
143,186,253,fair
151,189,254,fair
158,174,221,fair
168,182,234,fair
143,174,225,fair
155,173,236,fair
138,180,227,fair
143,169,235,fair
165,179,228,fair
167,180,236,fair
140,180,245,fair
125,167,212,fair
166,180,229,fair
138,173,223,fair
168,182,235,fair
170,187,226,fair
162,171,235,fair
167,183,236,fair
165,180,229,fair
164,178,227,fair
160,176,223,fair
168,182,235,fair
147,186,231,fair
149,191,250,fair
137,175,223,fair
140,180,245,fair
142,182,247,fair
146,182,228,fair
146,186,251,fair
125,167,212,fair
136,176,229,fair
159,169,233,fair
153,192,254,fair
148,167,234,fair
162,177,226,fair
153,167,216,fair
149,184,250,fair
136,167,222,fair
169,184,230,fair
152,176,236,fair
135,171,219,fair
149,190,252,fair
141,183,250,fair
148,168,233,fair
152,187,231,fair
138,169,224,fair
147,175,222,fair
145,184,253,fair
155,192,254,fair
151,189,253,fair
166,186,241,fair
137,175,223,fair
141,181,246,fair
166,182,228,fair
147,186,248,fair
136,171,221,fair
128,166,214,fair
151,189,253,fair
132,177,244,fair
129,164,228,fair
134,177,220,fair
160,177,228,fair
146,166,231,fair
161,178,235,fair
145,184,229,fair
167,183,236,fair
147,179,228,fair
164,178,230,fair
134,167,223,fair
137,174,224,fair
126,164,218,fair
141,168,218,fair
150,188,252,fair
130,165,221,fair
168,183,232,fair
166,186,234,fair
153,168,231,fair
169,185,238,fair
127,166,218,fair
137,179,224,fair
139,175,223,fair
152,190,254,fair
145,182,232,fair
149,187,235,fair
159,174,230,fair
157,177,242,fair
134,178,242,fair
131,165,219,fair
156,183,239,fair
160,180,235,fair
128,176,234,fair
146,184,226,fair
130,172,219,fair
169,184,230,fair
126,167,216,fair
167,181,230,fair
147,166,227,fair
128,170,217,fair
166,178,236,fair
125,165,217,fair
141,178,228,fair
147,183,253,fair
151,189,253,fair
149,187,251,fair
126,165,217,fair
158,178,233,fair
150,183,246,fair
139,175,229,fair
162,185,231,fair
133,177,241,fair
130,170,229,fair
152,190,232,fair
132,166,219,fair
169,185,232,fair
148,188,253,fair
140,179,248,fair
151,187,223,fair
166,180,228,fair
140,180,245,fair
171,185,233,fair
167,179,233,fair
151,189,253,fair
170,190,237,fair
155,172,223,fair
151,192,254,fair
131,164,227,fair
155,164,228,fair
128,174,222,fair
151,189,253,fair
154,168,234,fair
168,184,227,fair
142,175,224,fair
134,169,219,fair
158,196,228,fair
140,186,250,fair
157,180,236,fair
145,184,252,fair
125,167,226,fair
140,180,245,fair
167,181,234,fair
133,172,227,fair
154,168,227,fair
131,166,222,fair
148,195,249,fair
131,170,222,fair
137,178,227,fair
147,189,248,fair
143,173,222,fair
168,181,233,fair
167,181,234,fair
166,186,227,fair
160,189,250,fair
148,188,253,fair
162,182,230,fair
132,167,217,fair
148,180,221,fair
160,171,229,fair
128,171,222,fair
152,165,233,fair
151,187,227,fair
146,183,243,fair
133,167,220,fair
167,181,234,fair
136,178,243,fair
128,164,218,fair
148,185,253,fair
154,174,229,fair
170,185,231,fair
145,167,225,fair
171,186,235,fair
157,195,253,fair
145,180,230,fair
168,181,237,fair
170,187,236,fair
170,184,237,fair
162,176,228,fair
152,190,254,fair
154,173,218,fair
160,181,232,fair
169,185,231,fair
128,167,219,fair
167,182,231,fair
149,187,251,fair
135,177,242,fair
165,189,249,fair
168,184,230,fair
127,166,218,fair
130,170,219,fair
143,174,225,fair
142,182,231,fair
166,177,227,fair
132,176,240,fair
145,164,231,fair
134,168,221,fair
141,165,223,fair
149,167,232,fair
146,186,251,fair
146,189,246,fair
149,186,254,fair
155,168,230,fair
134,178,241,fair
155,182,238,fair
167,181,234,fair
148,185,253,fair
152,191,253,fair
166,179,235,fair
169,186,237,fair
158,176,235,fair
134,175,224,fair
165,181,234,fair
148,187,249,fair
155,171,224,fair
127,171,224,fair
151,183,232,fair
160,174,227,fair
151,166,215,fair
123,173,231,fair
146,185,230,fair
147,194,250,fair
134,177,220,fair
148,186,250,fair
142,186,247,fair
151,169,240,fair
151,168,219,fair
136,164,229,fair
146,181,231,fair
163,176,220,fair
155,173,236,fair
127,170,219,fair
151,189,253,fair
148,185,253,fair
149,173,219,fair
167,182,231,fair
139,179,244,fair
168,190,242,fair
145,170,234,fair
171,185,238,fair
132,166,220,fair
154,175,237,fair
139,176,236,fair
155,185,234,fair
170,186,233,fair
129,171,230,fair
152,172,227,fair
129,176,232,fair
153,173,231,fair
139,181,246,fair
140,166,232,fair
158,170,234,fair
133,165,231,fair
146,189,252,fair
149,167,232,fair
125,164,216,fair
146,170,230,fair
152,176,236,fair
165,181,228,fair
141,183,250,fair
169,185,238,fair
133,172,224,fair
134,167,223,fair
145,176,237,fair
167,179,233,fair
144,176,225,fair
143,168,230,fair
148,166,227,fair
169,182,226,fair
161,182,233,fair
136,172,226,fair
139,173,219,fair
152,190,254,fair
166,181,230,fair
141,181,246,fair
149,190,252,fair
158,180,232,fair
132,172,224,fair
170,185,231,fair
150,183,228,fair
163,184,246,fair
168,182,235,fair
145,183,247,fair
142,177,221,fair
153,172,245,fair
154,190,228,fair
144,164,219,fair
167,183,236,fair
136,178,243,fair
153,189,253,fair
129,167,221,fair
163,170,227,fair
146,164,229,fair
151,169,216,fair
169,183,235,fair
148,188,253,fair
140,164,230,fair
136,169,219,fair
167,181,234,fair
146,185,230,fair
153,168,231,fair
129,174,218,fair
134,175,224,fair
129,164,214,fair
161,173,227,fair
165,181,234,fair
150,188,252,fair
157,172,221,fair
159,185,232,fair
142,167,223,fair
134,173,225,fair
132,172,224,fair
166,180,233,fair
171,187,229,fair
169,202,241,fair
121,185,233,fair
140,176,222,fair
130,169,221,fair
139,177,231,fair
139,181,240,fair
164,166,230,fair
147,165,230,fair
146,167,229,fair
149,188,216,fair
154,176,218,fair
125,164,216,fair
144,167,229,fair
131,164,220,fair
143,182,251,fair
150,195,252,fair
167,183,236,fair
143,167,227,fair
168,173,236,fair
158,172,224,fair
145,178,228,fair
152,164,228,fair
145,186,248,fair
139,176,226,fair
162,177,226,fair
170,185,231,fair
157,174,225,fair
132,172,224,fair
150,186,246,fair
148,186,228,fair
143,185,244,fair
161,175,227,fair
125,171,219,fair
144,183,251,fair
146,171,233,fair
169,183,236,fair
169,185,238,fair
162,199,237,fair
128,165,217,fair
166,180,232,fair
162,180,227,fair
141,165,231,fair
155,195,253,fair
158,177,234,fair
148,189,244,fair
143,187,241,fair
171,183,237,fair
141,177,223,fair
127,164,224,fair
136,178,243,fair
163,179,232,fair
128,164,218,fair
155,173,238,fair
151,179,233,fair
123,173,233,fair
161,180,223,fair
149,193,254,fair
151,189,253,fair
170,203,242,fair
149,187,251,fair
152,187,251,fair
150,188,252,fair
171,188,239,fair
153,176,232,fair
169,184,230,fair
133,166,222,fair
159,176,219,fair
145,167,232,fair
163,175,217,fair
152,170,231,fair
148,165,228,fair
149,189,254,fair
158,186,246,fair
169,187,234,fair
154,191,225,fair
143,181,246,fair
147,168,220,fair
151,169,234,fair
132,176,240,fair
168,184,231,fair
148,187,249,fair
151,189,253,fair
144,188,251,fair
168,182,234,fair
136,174,222,fair
148,183,223,fair
158,167,231,fair
149,188,243,fair
155,178,234,fair
157,194,238,fair
153,170,219,fair
146,184,248,fair
150,188,252,fair
152,176,218,fair
146,185,253,fair
168,186,239,fair
169,183,236,fair
168,184,226,fair
171,187,240,fair
159,178,223,fair
131,170,225,fair
130,165,221,fair
167,185,232,fair
125,166,221,fair
121,167,225,fair
152,176,236,fair
138,178,227,fair
166,180,233,fair
132,164,217,fair
139,165,231,fair
127,166,218,fair
140,182,229,fair
132,171,223,fair
151,184,230,fair
140,180,245,fair
165,172,229,fair
144,182,246,fair
149,189,254,fair
167,185,232,fair
148,186,251,fair
158,167,230,fair
127,166,218,fair
157,174,217,fair
158,178,233,fair
136,171,221,fair
149,187,252,fair
127,172,229,fair
155,195,253,fair
125,164,216,fair
147,186,248,fair
155,175,232,fair
146,188,253,fair
133,165,230,fair
135,173,221,fair
124,164,229,fair
134,175,224,fair
129,174,241,fair
123,164,227,fair
134,164,219,fair
143,180,248,fair
147,179,232,fair
138,184,248,fair
153,174,235,fair
134,174,223,fair
145,187,252,fair
155,167,233,fair
146,188,253,fair
139,181,228,fair
141,178,230,fair
152,190,254,fair
166,180,233,fair
155,166,224,fair
142,174,227,fair
167,183,225,fair
133,173,222,fair
155,186,247,fair
153,172,233,fair
166,188,246,fair
137,179,244,fair
127,174,230,fair
131,176,243,fair
167,185,232,fair
140,173,222,fair
153,181,228,fair
125,164,216,fair
123,180,232,fair
153,165,219,fair
141,180,225,fair
152,179,243,fair
171,187,230,fair
153,196,253,fair
138,176,230,fair
152,171,232,fair
127,166,218,fair
148,188,253,fair
159,177,224,fair
142,178,248,fair
168,182,231,fair
130,170,223,fair
169,186,229,fair
160,175,224,fair
155,164,228,fair
137,165,230,fair
138,177,222,fair
145,182,244,fair
138,175,219,fair
149,167,232,fair
162,181,232,fair
143,186,243,fair
169,183,236,fair
143,186,249,fair
146,184,226,fair
133,169,223,fair
157,175,236,fair
166,184,237,fair
149,167,226,fair
152,190,254,fair
145,165,230,fair
161,187,233,fair
145,184,253,fair
143,183,236,fair
126,167,216,fair
135,169,215,fair
132,171,223,fair
129,164,228,fair
138,173,223,fair
140,184,247,fair
164,176,230,fair
126,170,229,fair
160,176,229,fair
169,183,236,fair
146,168,233,fair
141,176,232,fair
155,164,228,fair
144,166,231,fair
164,179,228,fair
145,188,251,fair
141,180,232,fair
126,169,218,fair
152,166,225,fair
168,180,228,fair
128,170,215,fair
168,185,228,fair
151,189,253,fair
146,186,251,fair
169,183,231,fair
143,183,248,fair
153,171,234,fair
145,185,250,fair
144,183,251,fair
139,166,230,fair
154,177,233,fair
169,184,230,fair
170,182,236,fair
137,177,229,fair
143,165,230,fair
160,197,235,fair
157,194,254,fair
140,181,226,fair
168,182,231,fair
136,178,243,fair
151,192,254,fair
152,165,221,fair
165,179,232,fair
155,188,233,fair
148,178,225,fair
171,192,230,fair
150,165,227,fair
131,171,223,fair
147,165,230,fair
169,183,231,fair
135,170,220,fair
140,184,247,fair
152,180,240,fair
126,170,217,fair
152,190,254,fair
123,164,213,fair
166,182,235,fair
152,190,254,fair
141,179,251,fair
165,180,229,fair
166,180,233,fair
150,189,234,fair
167,182,231,fair
155,175,232,fair
159,176,219,fair
165,179,232,fair
158,177,234,fair
168,184,237,fair
131,165,224,fair
142,182,247,fair
146,186,251,fair
167,181,230,fair
130,165,215,fair
148,181,230,fair
131,166,222,fair
141,181,246,fair
163,186,242,fair
168,182,231,fair
152,190,254,fair
161,175,228,fair
143,188,249,fair
171,183,237,fair
154,191,251,fair
151,192,254,fair
141,181,246,fair
156,190,226,fair
141,180,249,fair
134,179,246,fair
139,177,219,fair
136,179,228,fair
141,181,246,fair
157,188,251,fair
171,187,230,fair
151,173,231,fair
158,176,237,fair
166,181,227,fair
171,187,234,fair
145,165,230,fair
151,166,229,fair
158,178,219,fair
155,189,235,fair
161,195,254,fair
143,182,251,fair
127,166,218,fair
140,182,229,fair
142,181,225,fair
169,185,232,fair
149,165,231,fair
151,182,245,fair
155,167,231,fair
148,188,253,fair
139,178,252,fair
169,185,228,fair
151,169,216,fair
136,176,218,fair
132,172,220,fair
164,178,231,fair
146,189,252,fair
152,170,235,fair
142,179,229,fair
145,172,236,fair
149,183,242,fair
159,168,232,fair
